type,strike,market_price,bid,ask,theo_price,edge_pct,iv,volume,open_interest,delta,gamma,vega,theta,prob_itm,spread_pct,slippage_risk,moneyness_pct,risk_reward,d2
CALL,20.0,32.9,32.0775,33.7225,37.414930746317395,13.723193757803639,40.0,1191.0,0,1.0,4.0089371831228156e-277,2.896019389371732e-278,-0.0024651455056144164,100.0,4.999999999999988,MEDIUM,187.04999923706055,0.4860790217901072,35.60683419163029
CALL,22.5,31.65,30.858749999999997,32.44125,34.915547108680556,10.317684387616296,40.0,3360.0,0,1.0,5.392718026159842e-219,3.895649957031245e-220,-0.0027732886938162185,100.0,4.999999999999999,MEDIUM,155.15555487738715,0.465781984736004,31.62893121342762
CALL,25.0,33.65,32.808749999999996,34.49125,32.41616347104372,-3.6666761633173306,40.0,1.0,18,1.0,8.064964362450991e-173,5.826056159367506e-174,-0.0030814318820180206,100.0,5.000000000000013,HIGH,129.63999938964844,0.3043684938155877,28.070575744963143
CALL,27.5,26.7,26.0325,27.3675,29.91677983340688,12.047864544595065,40.0,4330.0,0,1.0,8.701598845952633e-136,6.285955061232372e-137,-0.003389575070219823,100.0,5.000000000000003,HIGH,108.76363580877131,0.5502621654267613,24.851651678489496
CALL,30.0,27.7,27.0075,28.3925,27.417396195770042,-1.020230340180351,40.0,1.0,45,1.0,6.588880575036375e-106,4.759746792713848e-107,-0.0036977182584216244,100.0,4.999999999999993,MEDIUM,91.36666615804036,0.4040433146893331,21.913004243095383
CALL,32.5,21.45,20.91375,21.98625,24.918012558133206,16.167890713907727,40.0,698.0,8,1.0,9.843090368507842e-82,7.11055804978513e-83,-0.004005861446623426,100.0,4.99999999999999,MEDIUM,76.64615337665265,0.6965967280603509,19.209710653627507
CALL,35.0,22.58,22.0155,23.144499999999997,22.418628920496367,-0.7146637710523966,40.0,2.0,40,1.0,3.5121217899633477e-62,2.5371245137959075e-63,-0.004314004634825229,100.0,4.99999999999999,MEDIUM,64.02857099260602,0.5009743054426274,16.706851719010857
CALL,37.5,20.14,19.6365,20.6435,19.919245282859528,-1.0961008795455447,40.0,30.0,297,1.0,2.0095062998563496e-46,1.4516488888746823e-47,-0.004622147823027031,100.0,4.999999999999989,MEDIUM,53.09333292643229,0.5586891666779804,14.376745796428233
CALL,40.0,17.5,17.0625,17.9375,17.41986164522269,-0.45793345587035056,40.0,15.0,463,1.0,8.104904107403613e-34,5.8549082641788e-35,-0.004930291011228833,100.0,5.0,MEDIUM,43.52499961853027,0.6509714181082586,12.197077272763147
CALL,41.0,16.79,16.37025,17.20975,16.42010819016795,-2.2030483015607363,40.0,12.0,12,1.0,1.5345227752906102e-29,1.1085251545928212e-30,-0.005053548286509554,100.0,5.000000000000006,HIGH,40.02438987173685,0.6612269098805555,11.363130205467295
CALL,42.0,11.34,11.0565,11.6235,15.420354735113214,35.98196415443752,40.0,2.0,0,1.0,1.1719676636433406e-25,8.466186728782736e-27,-0.0051768055617902745,100.0,5.000000000000002,HIGH,36.69047582717169,1.3714285552817043,10.549280217143087
CALL,42.5,14.95,14.57625,15.323749999999999,14.92047800758585,-0.19747152116488215,40.0,5.0,170,1.0,7.422134782880504e-24,5.361681977019342e-25,-0.0052384341994306345,100.0,4.999999999999992,MEDIUM,35.08235258214614,0.7653511583207041,10.149593419659237
CALL,43.0,13.5,13.1625,13.8375,14.420601280058477,6.819268741173906,40.0,62.0,0,1.0,3.827402761760003e-22,2.764880591208883e-23,-0.0053000628370709945,100.0,5.000000000000005,HIGH,33.51162755212119,0.9179259123625575,9.754581428773653
CALL,44.0,12.5,12.1875,12.8125,13.420847825003747,7.366782600029978,40.0,203.0,0,1.0,5.639145854462571e-19,4.0736671561656945e-20,-0.005423320112351716,100.0,5.0,MEDIUM,30.477272380482066,0.991359985351562,8.978153206289493
CALL,45.0,12.25,11.94375,12.55625,12.42109436994901,1.3966887342776342,40.0,14.0,339,0.9999999999999999,3.937927785898754e-16,2.8447228532089247e-17,-0.005546577387632721,99.99999999999999,5.000000000000006,HIGH,27.577777438693573,0.9503673319913899,8.219174294560467
CALL,45.5,10.9,10.6275,11.172500000000001,11.921217642421645,9.36896919652885,40.0,25.0,0,0.9999999999999983,7.978730765213702e-15,5.7637618009859845e-16,-0.0056082060252785485,99.99999999999979,5.000000000000016,HIGH,26.175823840466172,1.1460550290728921,7.845986627675214
CALL,46.0,7.6,7.409999999999999,7.79,11.421340914894273,50.28080151176676,40.0,1.0,1,0.9999999999999696,1.3640279060043793e-13,9.853612274252954e-15,-0.0056698346630114785,99.99999999999619,5.000000000000011,HIGH,24.804347494374152,2.012105239065069,7.476877596169023
CALL,46.5,11.47,11.183250000000001,11.75675,10.921464187367015,-4.782352333330305,40.0,1.0,1,0.9999999999995379,1.9777483922423492e-12,1.428707268186982e-13,-0.00573146330197894,99.99999999994272,4.999999999999993,MEDIUM,23.462365263251847,0.9522231749690082,7.111759010725875
CALL,47.0,11.08,10.803,11.357,10.421587459840993,-5.942351445478407,40.0,1.0,6,0.9999999999939977,2.4441440464497466e-11,1.7656272038221914e-12,-0.005793091955807487,99.99999999926355,4.999999999999987,MEDIUM,22.14893584555768,0.9758122578424662,6.750545511743141
CALL,47.5,9.99,9.74025,10.23975,9.921710732329181,-0.68357625296115,40.0,43.0,2238,0.999999999933089,2.5867763290451456e-10,1.8686634543490356e-11,-0.005854720762224894,99.9999999918751,5.0000000000000115,HIGH,20.863157573499176,1.141341323012465,6.393154449549643
CALL,48.0,9.05,8.82375,9.276250000000001,9.421834004957034,4.108663038199267,40.0,1.0,28,0.9999999993569153,2.3553646972575644e-09,1.7014938176173002e-10,-0.005916350910395464,99.99999992270651,5.000000000000006,HIGH,19.60416634877523,1.3085082670601684,6.039505770895381
CALL,48.5,9.09,8.86275,9.31725,8.921957278770812,-1.84865479900097,40.0,1.0,13,0.9999999946464962,1.8532826256863038e-08,1.338794341943887e-09,-0.005977991200979993,99.99999936302228,4.999999999999994,MEDIUM,18.37113370600435,1.2433443142898268,5.689521911322927
CALL,49.0,8.86,8.638499999999999,9.0815,8.422080561325082,-4.942657321387333,40.0,2.0,40,0.9999999612248047,1.265481755033574e-07,9.141723933470584e-09,-0.006039697630116426,99.99999543218206,5.000000000000016,HIGH,17.163264994718592,1.2451467061957706,5.343127693058555
CALL,49.5,7.99,7.79025,8.18975,7.922203900018175,-0.8485118896348561,40.0,51.0,528,0.9999997545803834,7.52974258212569e-07,5.4394168625579893e-08,-0.006101777321421653,99.99997137202145,4.9999999999999964,MEDIUM,15.979797671539615,1.42703376932347,5.000250228086812
CALL,50.0,7.42,7.2345,7.6055,7.42232755415597,0.031368654393129254,40.0,156.0,11781,0.9999986368302555,3.919488675386491e-06,2.8314026091823805e-07,-0.006165685461556194,99.99984252306393,5.000000000000006,HIGH,14.819999694824219,1.546091619527564,4.660818826095996
CALL,51.0,6.5,6.3375,6.6625,6.422584743584025,-1.1910039448611525,40.0,3.0,662,0.9999711017552819,7.218703083356948e-05,5.214724786292262e-06,-0.006338062378005787,99.99672438420116,4.999999999999989,MEDIUM,12.56862715178845,1.7526153564453115,3.992021917791474
CALL,52.0,5.55,5.41125,5.68875,5.422989574376672,-2.288476137357261,40.0,6.0,1154,0.9996184196348528,0.0008137409918904097,5.878390163762803e-05,-0.006994495642389637,99.95753584122305,4.999999999999997,MEDIUM,10.403845860407902,2.043603570611626,3.3362121814275105
CALL,52.5,5.0,4.875,5.125,4.9235061999089496,-1.529876001821009,40.0,44.0,5321,0.9988274018093928,0.0022920854057311307,0.00016557814387908737,-0.00811841942605161,99.87066981941332,5.0,MEDIUM,9.352380661737351,2.278399963378905,3.0130217704759383
CALL,53.0,4.58,4.4655000000000005,4.6945,4.424754714730838,-3.38963504954502,40.0,16.0,2817,0.9967605390177634,0.005767563024884075,0.0004166434540258061,-0.010675933295102833,99.6458269451111,4.999999999999982,MEDIUM,8.320754429079452,2.4698689556538267,2.692894821834525
CALL,54.0,3.75,3.65625,3.84375,3.4346899917675344,-8.408266886199083,40.0,40.0,1979,0.9817454733764602,0.026355579410897112,0.0019039028427137656,-0.025564314144463036,98.03772160280379,5.0,MEDIUM,6.314814532244648,2.9711999511718736,2.0616027926927023
CALL,55.0,2.64,2.5740000000000003,2.706,2.435908598155031,-7.730734918370049,30.0,230.0,15536,0.9746120800873803,0.04643809500061147,0.0025159839887257452,-0.025467813298162636,97.32685139042604,4.999999999999987,MEDIUM,4.381817904385653,4.262121142763077,1.9311624002820997
CALL,56.0,1.9,1.8524999999999998,1.9475,1.5050500369291413,-20.786840161624138,30.0,150.0,3901,0.8732689816069245,0.16302216299274572,0.008832428459689963,-0.07223860931856331,86.85948988223964,5.000000000000011,HIGH,2.517856870378767,5.785263061523435,1.1197737165334478
CALL,57.0,1.25,1.21875,1.28125,0.7467286131469706,-40.26171094824235,30.0,597.0,2353,0.6349353908571602,0.2948449502186282,0.01597449623842107,-0.12421069724996227,62.65564406229925,5.0,MEDIUM,0.7192979779159814,8.51359985351562,0.3227466510281488
CALL,57.5,0.99,0.9652499999999999,1.01475,0.4719250909312045,-52.33079889583793,30.0,563.0,4104,0.4807260583662528,0.31255428689803255,0.016933975897001984,-0.13034918937297651,47.18825636786141,5.00000000000001,HIGH,-0.15652200450067935,10.507070522115683,-0.07053841321186471
CALL,58.0,0.79,0.77025,0.8097500000000001,0.274045637772101,-65.31067876302518,30.0,1351.0,4587,0.33061653251484224,0.28427200145495213,0.015401661159749636,-0.11781875794457584,32.260797604608776,5.0000000000000115,HIGH,-1.017241642392915,12.787341540372818,-0.4604183692329018
CALL,59.0,0.47,0.45825,0.48174999999999996,0.06970346645641712,-85.16947522203891,30.0,1372.0,1432,0.11352588153134402,0.15085638168168233,0.00817329481115052,-0.06209464747231955,10.931199057187413,4.999999999999993,MEDIUM,-2.6949155128608315,20.04680812105218,-1.230195295558444
CALL,60.0,0.29,0.28275,0.29724999999999996,1.1227905847785175e-07,-99.99996128308328,12.500875,5961.0,16996,1.0830561105291246e-06,1.0056440834561397e-05,2.2703715606120092e-07,-7.171927462299033e-07,0.00010346879651166914,4.999999999999986,MEDIUM,-4.316666920979817,29.66206833411906,-4.746528485313499
CALL,61.0,0.19,0.18525,0.19475,2.6742621092322957e-12,-99.9999999985925,12.500875,2742.0,9257,3.433389515799867e-11,4.3109722329121115e-10,9.73257727779252e-12,-3.065911671880652e-11,3.2277378376493874e-09,5.000000000000004,HIGH,-5.885246151783427,40.536841141550134,-6.532792030733163
CALL,62.0,0.12,0.11699999999999999,0.123,4.148478791948405e-06,-99.99654293434006,25.00075,501.0,8416,1.785594521906062e-05,7.316029147032991e-05,3.303244244678381e-06,-2.0771767832762983e-05,0.001647117916838136,5.000000000000004,HIGH,-7.403226052561114,56.43333180745438,-4.152110179649168
CALL,62.5,0.11,0.10725,0.11275,5.267111119630847e-07,-99.9995211717164,25.00075,186.0,1220,2.466402502850164e-06,1.1071695889160731e-05,4.99895708309629e-07,-3.1418340321175147e-06,0.00022576679158178774,5.000000000000004,HIGH,-8.144000244140626,57.109089244495685,-4.586131816543731
CALL,63.0,0.08,0.078,0.082,5.716320449849582e-08,-99.99992854599438,25.00075,312.0,1146,2.8935670915954153e-07,1.4120575178379444e-06,6.37554987167412e-08,-4.0052482454410465e-07,2.6283949102091843e-05,5.000000000000004,HIGH,-8.873016115218874,72.64999771118157,-5.016695076959002
CALL,64.0,0.07,0.06825,0.07175000000000001,4.2442177001869624e-10,-99.99999939368318,25.00075,67.0,2822,2.4703453119230587e-09,1.3977186350794053e-08,6.310808697199069e-10,-3.961806406150776e-09,2.2098901842942043e-07,5.0000000000000036,HIGH,-10.296875238418579,68.88571166992179,-5.867663896766439
CALL,65.0,0.05,0.04875,0.051250000000000004,1.7327860957996085e-12,-99.99999999653443,25.00075,349.0,2882,1.1394847699465112e-11,7.325675856180736e-11,3.3075998091289814e-12,-2.0753557458285086e-11,1.004009715969356e-09,5.000000000000004,HIGH,-11.676923311673677,76.83999633789051,-6.705438868801744
CALL,70.0,0.01,0.00975,0.01025,1.807912116782587e-08,-99.99981920878834,50.0005,455.0,2873,4.8589632754005663e-08,1.2595576573883697e-07,1.1373774732050296e-08,-1.4251529169699668e-07,3.960193062475324e-06,5.000000000000004,HIGH,-17.985714503696986,-1.0,-5.368932939565875
CALL,75.0,0.01,0.00975,0.01025,8.788867848961326e-14,-99.99999999912113,50.0005,136.0,4355,3.100526731778986e-13,1.0695755104816244e-12,9.658240608341386e-14,-1.2094758490786677e-12,2.3622137573739492e-11,5.000000000000004,HIGH,-23.453333536783855,-1.0,-7.232999036970996
PUT,20.0,0.06,0.058499999999999996,0.0615,2.798323945854635e-180,-100.0,50.0005,6.0,94,-3.759672368123918e-179,5.051652739043361e-178,4.561630024746701e-179,-5.699430025826117e-178,1.080879597775767e-176,5.000000000000004,HIGH,-187.04999923706055,-1.0,28.47852009909301
PUT,22.5,0.11,0.10725,0.11275,5.757152007838911e-143,-100.0,50.0005,7.0,43,-6.875132111910983e-142,8.209476198252082e-141,7.413136857954688e-142,-9.261640457971525e-141,1.757220116833218e-139,5.000000000000004,HIGH,-155.15555487738715,-1.0,25.296229539436467
PUT,25.0,0.06,0.058499999999999996,0.0615,2.6472547927155447e-113,-100.0,50.0005,3.0,303,-2.8079020340750765e-112,2.9773486534048615e-111,2.688538526518499e-112,-3.358716083472247e-111,6.460247974566078e-110,5.000000000000004,HIGH,-129.63999938964844,-1.0,22.44957363122397
PUT,27.5,0.11,0.10725,0.11275,1.7215631055846e-89,-100.0,50.0005,3.0,276,-1.6183146033328728e-88,1.5202830543690658e-87,1.3728118667628047e-88,-1.7148844369210613e-87,3.3855473237964894e-86,5.000000000000004,HIGH,-108.76363580877131,-1.0,19.874460129180072
PUT,30.0,0.01,0.00975,0.01025,2.974083045397045e-70,-100.0,50.0005,1.0,683,-2.468509482321219e-69,2.046634257482592e-68,1.8481057113153286e-69,-2.3084043763069617e-68,4.7349852969554066e-67,5.000000000000004,HIGH,-91.36666615804036,-1.0,17.523565689809175
PUT,32.5,0.01,0.00975,0.01025,1.1585193847109728e-54,-100.0,50.0005,3.0,3530,-8.445147990685159e-54,6.145438962094687e-53,5.549316299609308e-54,-6.930723028392541e-53,1.4957363485171557e-51,5.000000000000004,HIGH,-76.64615337665265,-1.0,15.36095244436733
PUT,35.0,0.01,0.00975,0.01025,5.040167768466899e-42,-100.0,50.0005,1.0,6059,-3.203569988831498e-41,2.0307500470885986e-40,1.8337623083152344e-41,-2.289952124239169e-40,5.2704699604947e-39,5.000000000000004,HIGH,-64.02857099260602,-1.0,13.358685319345257
PUT,37.5,0.02,0.0195,0.0205,8.324436049311672e-32,-100.0,50.0005,1.0,3926,-4.569767178083547e-31,2.4983945600994713e-30,2.2560441557928214e-31,-2.8168386761293946e-30,7.01993810629395e-29,5.000000000000004,HIGH,-53.09333292643229,-1.0,11.494619221940134
PUT,39.0,0.03,0.029249999999999998,0.03075,1.1624835591334291e-26,-100.0,50.0005,2.0,38,-5.810788904474916e-26,2.889390951998833e-25,2.609112938029329e-26,-3.2572966099235843e-25,8.585703266315758e-24,5.000000000000004,HIGH,-47.2051278138772,-1.0,10.434944502952533
PUT,40.0,0.02,0.0195,0.0205,1.3549095959980966e-23,-100.0,50.0005,1.0,8636,-6.344336615805485e-23,2.9523406814731525e-22,2.665956389242905e-23,-3.327971619962371e-22,9.141835716919497e-21,5.000000000000004,HIGH,-43.52499961853027,-1.0,9.750901840181882
PUT,41.0,0.17,0.16575,0.17425000000000002,8.525540804845928e-21,-100.0,50.0005,1.0,3,-3.729867154479739e-20,1.6198185962177485e-19,1.4626922167554222e-20,-1.8257330641289732e-19,5.244810809643592e-18,5.0000000000000036,HIGH,-40.02438987173685,-1.0,9.083750857855023
PUT,42.0,0.04,0.039,0.041,3.0184934967625078e-18,-100.0,50.0005,5.0,16,-1.2302410949368602e-17,4.970311303086248e-17,4.488178907719158e-18,-5.601534943545561e-17,1.6892257658425859e-15,5.000000000000004,HIGH,-36.69047582717169,-1.0,8.432677377930457
PUT,42.5,0.01,0.00975,0.01025,4.633331935234786e-17,-99.99999999999953,50.0005,26.0,6572,-1.820476707360523e-16,7.084645943616911e-16,6.397417898765314e-17,-7.98390998356164e-16,2.4706538492252813e-14,5.000000000000004,HIGH,-35.08235258214614,-1.0,8.11293113740578
PUT,43.0,0.16,0.156,0.164,6.246907458776316e-16,-99.9999999999996,50.0005,2.0,6,-2.364133806537469e-15,8.853822089191097e-15,7.994979616011368e-16,-9.977014231095491e-15,3.171703181770032e-13,5.000000000000004,HIGH,-33.51162755212119,-1.0,7.796924704761641
PUT,44.0,0.09,0.08775,0.09225,7.82775711085318e-14,-99.99999999991303,50.0005,1.0,13,-2.740637274795256e-13,9.47556956433849e-13,8.556416060073021e-14,-1.0676132443289971e-12,3.5945853459131045e-11,5.000000000000004,HIGH,-30.477272380482066,-1.0,7.17578833813798
PUT,45.0,0.01,0.00975,0.01025,6.135973999489171e-12,-99.99999993864026,50.0005,35.0,4161,-1.9792412613366237e-11,6.288116554104364e-11,5.678153815010882e-12,-7.083678635532844e-11,2.5393335689952483e-09,5.000000000000004,HIGH,-27.577777438693573,-1.0,6.568611280525336
PUT,45.5,0.23,0.22425,0.23575000000000002,4.6001024549504165e-11,-99.99999997999956,50.0005,1.0,26,-1.4217796119773815e-10,4.3214945309612285e-10,3.902298954924699e-11,-4.867802480639803e-10,1.804497143543334e-08,5.000000000000004,HIGH,-26.175823840466172,-1.0,6.2700641324886135
PUT,46.0,0.02,0.0195,0.0205,3.1016874053513224e-10,-99.9999984491563,50.0005,2.0,73,-9.174188722107752e-10,2.6639239380308194e-09,2.4055167777949966e-10,-3.000394360731037e-09,1.1520054570825503e-07,5.000000000000004,HIGH,-24.804347494374152,2.6000061035153403,5.974779860126383
PUT,46.5,0.05,0.04875,0.051250000000000004,1.8875185352801635e-09,-99.99999622496293,50.0005,62.0,323,-5.335616694748754e-09,1.4777966899974901e-08,1.3344467840123996e-09,-1.6642753695735872e-08,6.629704889404467e-07,5.000000000000004,HIGH,-23.462365263251847,10.440002441406135,5.68268791269134
PUT,47.0,0.02,0.0195,0.0205,1.0402003710978598e-08,-99.99994798998145,50.0005,11.0,83,-2.8061677032654688e-08,7.400967721370225e-08,6.6830556877068435e-09,-8.333913002759973e-08,3.4506866597234596e-06,5.000000000000004,HIGH,-22.14893584555768,52.60000610351534,5.393720003184248
PUT,47.5,0.01,0.00975,0.01025,5.208379716716818e-08,-99.99947916202832,50.0005,24.0,3100,-1.3388726218998487e-07,3.3563496022477384e-07,3.030775453116218e-08,-3.778966521158083e-07,1.6295704990146683e-05,5.000000000000004,HIGH,-20.863157573499176,156.20001220703068,5.107810012529355
PUT,48.0,0.03,0.029249999999999998,0.03075,2.3770393973382642e-07,-99.99920765353423,50.0005,3.0,199,-5.813043696871522e-07,1.3823724050213228e-06,1.2482788888851305e-07,-1.5562204681619355e-06,7.00389088113835e-05,5.000000000000004,HIGH,-19.60416634877523,68.06667073567691,4.824893898767084
PUT,48.5,0.13,0.12675,0.13325,9.919072897293668e-07,-99.99923699439253,50.0005,10.0,444,-2.303612707080241e-06,5.1854821439110965e-06,4.6824776488757995e-07,-5.836728457653507e-06,0.0002747941665389393,5.000000000000004,HIGH,-18.37113370600435,18.784616323617744,4.544909610951999
PUT,49.0,0.03,0.029249999999999998,0.03075,3.796014655080076e-06,-99.9873466178164,50.0005,11.0,411,-8.356491880697835e-06,1.7764025326252283e-05,1.6040871270169407e-06,-1.9991674805311434e-05,0.0009870641970166779,5.000000000000004,HIGH,-17.163264994718592,101.40000406901024,4.267797007466537
PUT,49.5,0.04,0.039,0.041,6.117241239523782e-17,-99.99999999999984,25.00075,2.0,711,-4.751995234308766e-16,3.647013280976719e-15,1.6466549529176777e-16,-1.0258192423700733e-15,5.525074700462268e-14,5.000000000000004,HIGH,-15.979797671539615,88.30000305175767,8.014593919536933
PUT,50.0,0.04,0.039,0.041,4.7346300606315796e-15,-99.99999999998816,25.00075,40.0,6108,-3.442989293612675e-14,2.469069182613546e-13,1.114804001360299e-14,-6.943306372602216e-14,3.963686783481247e-12,5.000000000000004,HIGH,-14.819999694824219,100.80000305175767,7.471519968570157
PUT,51.0,0.06,0.058499999999999996,0.0615,1.0815970893992619e-11,-99.99999998197337,25.00075,63.0,1140,-6.814460211355262e-11,4.2132735139399477e-10,1.9023258664602518e-11,-1.1841527628037473e-10,7.694049022689293e-09,5.000000000000004,HIGH,-12.56862715178845,83.53333536783846,6.401477016571481
PUT,52.0,0.1,0.0975,0.10250000000000001,7.317216799200257e-09,-99.9999926827832,25.00075,82.0,7666,-3.921159928412084e-08,2.0467745324652836e-07,9.241346717791781e-09,-5.748171006567455e-08,4.34425398793352e-06,5.000000000000004,HIGH,-10.403845860407902,59.72000122070307,5.352212916312147
PUT,52.5,0.12,0.11699999999999999,0.123,1.236838927309511e-07,-99.99989693008939,25.00075,246.0,1707,-6.061085847476915e-07,2.87809932983828e-06,1.2994843043724872e-07,-8.078968035243949e-07,6.653140803113441e-05,5.000000000000004,HIGH,-9.352380661737351,53.76666768391922,4.835123771463977
PUT,53.0,0.11,0.10725,0.11275,1.5899722637139572e-06,-99.99855457066936,25.00075,113.0,2095,-7.077519283365332e-06,3.032377003762914e-05,1.3691418779321262e-06,-8.507103133654942e-06,0.0007698319741097951,5.000000000000004,HIGH,-8.320754429079452,63.290910200639146,4.322936019270282
PUT,54.0,0.2,0.195,0.20500000000000002,1.1348458550966646e-12,-99.99999999943257,12.500875,942.0,2257,-1.478810856439546e-11,1.8909203275909256e-10,4.2689971589066895e-12,-1.3236740630375956e-11,1.574684816286569e-09,5.000000000000004,HIGH,-6.314814532244648,39.360000610351534,6.639411997938975
PUT,55.0,0.31,0.30225,0.31775,1.620756480924209e-07,-99.99994771753288,12.500875,631.0,3044,-1.5375517011681061e-06,1.4076989767774427e-05,3.1780624729519644e-07,-9.82311354322333e-07,0.00016082677571505502,4.999999999999987,MEDIUM,-4.381817904385653,28.26451652280744,4.656485096996899
PUT,56.0,0.52,0.507,0.533,0.08124367258222609,-84.37621681111037,30.0,388.0,756,-0.12673101839307555,0.16302216299274572,0.008832428459689963,-0.06533620190284295,13.140510117760362,5.000000000000004,HIGH,-2.517856870378767,18.36923100398136,1.1197737165334478
PUT,57.0,0.88,0.858,0.902,0.3226757038547987,-63.33230638013651,30.0,554.0,687,-0.3650646091428397,0.2948449502186282,0.01597449623842107,-0.1171850325589612,37.34435593770075,5.000000000000004,HIGH,-0.7192979779159814,11.581818320534438,0.3227466510281488
PUT,57.5,1.19,1.16025,1.21975,0.5477489091663905,-53.970679901983985,30.0,240.0,740,-0.5192739416337472,0.31255428689803255,0.016933975897001984,-0.12326189604433507,52.81174363213859,4.99999999999999,MEDIUM,0.15652200450067935,8.72436985047925,-0.07053841321186471
PUT,58.0,1.41,1.37475,1.44525,0.8497461835346485,-39.734313224493015,30.0,249.0,653,-0.6693834674851578,0.28427200145495213,0.015401661159749636,-0.11066983597829404,67.73920239539122,5.000000000000001,HIGH,1.017241642392915,7.561702214234261,-0.4604183692329018
PUT,59.0,2.11,2.05725,2.16275,1.6451574672737053,-22.030451787976048,30.0,56.0,371,-0.886474118468656,0.15085638168168233,0.00817329481115052,-0.054822468230757024,89.06880094281259,5.000000000000007,HIGH,2.6949155128608315,5.195260721360335,-1.230195295558444
PUT,60.0,2.85,2.77875,2.92125,2.587006140578424,-9.227854716546524,30.0,30.0,313,-0.9752828786124342,0.04540731446904529,0.0024601370097900987,-0.011229082854574815,97.65406953873247,5.000000000000003,HIGH,4.316666920979817,3.9375439024808094,-1.9870341802433842
PUT,61.0,3.65,3.55875,3.74125,3.588307768335504,-1.690198127794408,40.0,35.0,43,-0.9785863219675431,0.03017947877165622,0.0021801378193650645,-0.014432603737917146,98.00604545768955,5.000000000000003,HIGH,5.885246151783427,3.1293151019370704,-2.054999108230468
PUT,62.0,4.68,4.563,4.797,4.577388715410223,-2.192548816020878,40.0,0.0,16,-0.994981596307754,0.00853425436082267,0.000616506694263549,0.0014416938528240468,99.53951194354997,5.0,MEDIUM,7.403226052561114,2.4341880602714334,-2.60416795960636
PUT,62.5,5.0,4.875,5.125,5.075690350483171,1.5138070096634237,40.0,0.0,0,-0.9977852102455484,0.004091407474878848,0.0002955595170448593,0.004732443898946906,99.79826734784902,5.0,MEDIUM,8.144000244140626,2.3144000244140615,-2.8754396205711537
PUT,64.0,6.57,6.40575,6.73425,6.574275802495876,0.06508070769978357,40.0,2.0,15,-0.9998672429144283,0.00030380952127852153,2.1946920695149938e-05,0.007668063486073296,99.98817355634773,5.0,MEDIUM,10.296875238418579,1.7506849500868045,-3.6764211994368496
PUT,65.0,7.45,7.26375,7.63625,7.573980326963948,1.6641654626033273,40.0,7.0,30,-0.9999847991910769,3.9241985000933275e-05,2.834804943279548e-06,0.007983267943217106,99.99866569777343,5.000000000000006,HIGH,11.676923311673677,1.560000016385276,-4.200046265239641
PUT,70.0,11.2,10.92,11.479999999999999,12.572742006422416,12.25662505734301,40.0,2.0,5,-0.9999999999874939,5.0153635567187194e-11,3.623052555214063e-12,0.00862800923333179,99.99999999897841,4.999999999999989,MEDIUM,17.985714503696986,1.149285725184849,-6.702905199856295
PUT,75.0,15.9,15.5025,16.2975,17.571509281693054,10.512636991780209,40.0,1.0,0,-1.0,5.865006662996248e-19,4.236826929176452e-20,0.009244295646054062,100.0,5.0,MEDIUM,23.453333536783855,0.8284276806333526,-9.033011122438914
